canddt_name_2014,caddi_sex_2014,cnddt_age_2014,canddt_category_2014
DONKA LEELAVATHI,F,62,GEN
DONAM NEELAKANTAM,M,42,SC
PEPAKAYALA SUBHA RAJENDRA,M,48,GEN
PRABHAKARA RAO MADIKI,M,45,SC
MERLA BHAVANI SANKARA PRASAD,M,54,GEN
VINJAMALLA CHITTI BABU,M,40,SC
AITHABATHULA JOGESWARA VENKATA BUTCHI MAHESWARA RAO,M,63,SC
GEDDAM SAMPADA RAO,M,44,SC
DR PANDULA RAVINDRA BABU,M,58,SC
KUNCHE PEDASATYANARAYANA,M,43,SC
KONKI VENKATA RAO,M,33,SC
PINIPE VISWARUPU,M,51,SC
VIJAYA CHAKRAVARTHY PANTHAGADA,M,61,SC
G.V.HARSHA KUMAR,M,54,SC
UNDRU GANI RAJU,M,32,SC
KASI CHANDRAMOULI,M,28,SC
KOMMU SATYAVATHI,F,41,SC
BHASKARA RAO BUNGA,M,65,SC
YALANGI RAMESH,M,50,SC
VADDI WINSTON CHURCHILL,M,46,SC
DURGESH KANDULA,M,55,GEN
MARRE BABJI,M,47,SC
MURALI MOHAN MAGANTI,M,73,GEN
KOLLABATHULA RICHMOND CAREY,M,40,GEN
BODDU VENKATARAMANA CHOWDARY,M,39,GEN
MULLAPUDI SATYANARAYANA,M,43,GEN
MEDA SRINIVAS,M,44,GEN
SANGISETTI SRINIVASA RAO,M,47,GEN
ANNAMDEVULA DHARMA RAO,M,52,GEN
CHEEKATLA VENKATESWARA RAO,M,46,GEN
PALLA VENKATA NAIDU(PRADEEP),M,47,GEN
POLU PEDA VENGALA REDDY,M,66,GEN
MUTYALA RAMBABU,M,30,GEN
ILLA GOVINDA RAJAN,M,36,GEN
KANUMURU BAPI RAJU,M,66,GEN
GOKARAJU GANGA RAJU,M,69,GEN
CHINTAPALLI KANAKA RAO,M,55,GEN
S.V.P.K.H.G.KRISHNAM RAJU,M,48,GEN
GITADAS DAS,F,28,GEN
NALLI RAJESH,M,31,SC
VANKA RAVINDRANATH,M,53,GEN
SAROJA  POLASAPALLI,F,33,GEN
ADDANKI (SEKHAR BABU) DORABABU,M,44,GEN
BADAMPUDI SIVA,M,27,GEN
MEDAPATI  VARAHALA REDDY,M,38,GEN
VANGALAPUDI YASHYAA,M,40,SC
VOLETI VENKATA LAKSHMANA RAO,M,49,GEN
SHIVAJI GOTTUMUKKALA,M,43,SC
NETALA RAMESH BABU,M,51,SC
MAGANTI VENKATESWARA RAO (BABU),M,54,GEN
MUSUNURI NAGESWARA RAO,M,61,GEN
ASHOK YANTRAPATI,M,52,SC
